channel,timestep,shap_value
Channel_0,0,0.312921
Channel_0,1,0.147419
Channel_0,2,0.107395
Channel_0,3,0.166404
Channel_0,4,0.197772
Channel_0,5,0.135301
Channel_0,6,0.325964
Channel_0,7,0.083849
Channel_0,8,0.000000
Channel_1,0,-0.146816
Channel_1,1,-0.141331
Channel_1,2,-0.161847
Channel_1,3,-0.138000
Channel_1,4,-0.165476
Channel_1,5,-0.139599
Channel_1,6,-0.147176
Channel_1,7,-0.127884
Channel_1,8,0.000000
Channel_2,0,0.034083
Channel_2,1,0.034970
Channel_2,2,0.007404
Channel_2,3,0.076381
Channel_2,4,0.076173
Channel_2,5,0.047488
Channel_2,6,0.063874
Channel_2,7,0.014474
Channel_2,8,0.000000
Channel_3,0,0.048861
Channel_3,1,0.071665
Channel_3,2,0.063917
Channel_3,3,0.070632
Channel_3,4,0.100415
Channel_3,5,0.115559
Channel_3,6,0.134991
Channel_3,7,0.133494
Channel_3,8,0.000000
Channel_4,0,0.044740
Channel_4,1,0.019025
Channel_4,2,0.047879
Channel_4,3,0.019227
Channel_4,4,0.041022
Channel_4,5,0.036904
Channel_4,6,0.018187
Channel_4,7,0.021243
Channel_4,8,0.000000
Channel_5,0,0.055306
Channel_5,1,0.052280
Channel_5,2,0.044775
Channel_5,3,0.048978
Channel_5,4,0.042590
Channel_5,5,0.045505
Channel_5,6,0.054686
Channel_5,7,0.047601
Channel_5,8,0.000000
Channel_6,0,0.008813
Channel_6,1,-0.001426
Channel_6,2,0.011398
Channel_6,3,0.007622
Channel_6,4,0.016500
Channel_6,5,0.002454
Channel_6,6,-0.004569
Channel_6,7,0.006781
Channel_6,8,0.000000
Channel_7,0,0.036977
Channel_7,1,0.019335
Channel_7,2,-0.006590
Channel_7,3,0.037141
Channel_7,4,-0.004350
Channel_7,5,0.013851
Channel_7,6,-0.000521
Channel_7,7,0.036786
Channel_7,8,0.000000
Channel_8,0,-0.002955
Channel_8,1,0.003099
Channel_8,2,-0.001902
Channel_8,3,0.000244
Channel_8,4,0.003146
Channel_8,5,0.001917
Channel_8,6,-0.002784
Channel_8,7,-0.001022
Channel_8,8,0.000000
Channel_9,0,-0.151251
Channel_9,1,-0.197016
Channel_9,2,-0.096692
Channel_9,3,0.062507
Channel_9,4,-0.110095
Channel_9,5,-0.119908
Channel_9,6,-0.195346
Channel_9,7,0.178877
Channel_9,8,0.000000
Channel_10,0,0.006845
Channel_10,1,0.013685
Channel_10,2,0.014450
Channel_10,3,0.014623
Channel_10,4,0.013806
Channel_10,5,0.024343
Channel_10,6,0.028664
Channel_10,7,0.024097
Channel_10,8,0.000000
Channel_11,0,-0.220433
Channel_11,1,-0.256836
Channel_11,2,-0.148027
Channel_11,3,-0.201935
Channel_11,4,-0.238357
Channel_11,5,-0.230446
Channel_11,6,-0.276538
Channel_11,7,-0.280379
Channel_11,8,0.000000
